location,city,property_type,bedrooms,bathrooms,size_sqm,furnished,serviced,annual_rent,listing_date,listing_url
Magodo,Lagos,flat,3,4,,no,yes,4300000,13/08/2026,#######
Surulere,Lagos,duplex,1,1,98,not stated,not stated,2800000,09/08/2026,#######
Lokogoma,Abuja,penthouse,2,2,119,no,yes,5300000,06/08/2026,#######
Garki,Abuja,terrace,3,2,,no,no,2900000,01/08/2026,#######
Opebi,Lagos,duplex,2,2,130,no,no,2300000,15/08/2026,#######
Life Camp,Abuja,terrace,5,5,784,yes,yes,5900000,10/08/2026,#######
Wuse 2,Abuja,mansion,5,6,912,not stated,not stated,18600000,05/08/2026,#######
Ikeja,Lagos,terrace,2,3,,no,not stated,3100000,11/08/2026,#######
Dutse,Abuja,flat,4,5,524,not stated,yes,4700000,09/08/2026,#######
Lokogoma,Abuja,duplex,3,2,241,no,yes,4500000,18/08/2026,#######
Allen,Lagos,terrace,3,4,734,yes,no,4400000,06/08/2026,#######
Ajah,Lagos,duplex,2,2,132,no,yes,2200000,15/08/2026,#######
Sangotedo,Lagos,duplex,5,4,331,yes,no,5200000,09/08/2026,#######
Mabushi,Abuja,bungalow,6,5,708,no,yes,5600000,10/08/2026,#######
Lekki Phase 1,Lagos,bungalow,2,1,117,not stated,no,4900000,13/08/2026,#######
Ojodu Berger,Lagos,terrace,4,4,232,not stated,not stated,3700000,17/08/2026,#######
Guzape,Abuja,flat,3,3,399,yes,no,5500000,02/08/2026,#######
Life Camp,Abuja,flat,5,4,,yes,yes,5800000,10/08/2026,#######
Gwarinpa,Abuja,bungalow,3,2,386,not stated,not stated,5100000,01/08/2026,#######
Lugbe,Abuja,terrace,2,3,104,yes,yes,3400000,13/08/2026,#######
Jahi,Abuja,self-contain,0,1,,yes,yes,600000,15/08/2026,#######
Maitama,Abuja,bungalow,5,5,574,yes,no,8200000,15/08/2026,#######
Magodo,Lagos,bungalow,3,4,236,yes,no,4600000,06/08/2026,#######
Wuse 2,Abuja,duplex,5,6,666,yes,no,8000000,03/08/2026,#######
Festac,Lagos,penthouse,4,5,284,no,not stated,6500000,05/08/2026,#######
Jahi,Abuja,duplex,4,3,787,not stated,not stated,5700000,12/08/2026,#######
Asokoro,Abuja,bungalow,6,6,532,not stated,no,8600000,03/08/2026,#######
Ajah,Lagos,mansion,2,2,675,not stated,not stated,5100000,05/08/2026,#######
Victoria Island,Lagos,bungalow,3,3,164,yes,yes,5700000,14/08/2026,#######
Sangotedo,Lagos,flat,3,4,598,no,no,3500000,07/08/2026,#######
Apo,Abuja,self-contain,0,1,85,not stated,not stated,200000,13/08/2026,#######
Allen,Lagos,bungalow,5,4,,no,not stated,6000000,13/08/2026,#######
Gbagada,Lagos,mansion,2,2,880,not stated,no,6500000,12/08/2026,#######
Lugbe,Abuja,bungalow,3,3,399,not stated,no,3600000,12/08/2026,#######
Asokoro,Abuja,flat,2,3,,not stated,no,4900000,06/08/2026,#######
Life Camp,Abuja,penthouse,2,1,102,not stated,no,4400000,07/08/2026,#######
Amuwo Odofin,Lagos,bungalow,5,5,371,no,not stated,5600000,14/08/2026,#######
Maitama,Abuja,bungalow,2,3,112,yes,yes,5200000,14/08/2026,#######
Festac,Lagos,mansion,3,2,1081,no,not stated,5900000,18/08/2026,#######
Magodo,Lagos,flat,5,6,613,no,no,7100000,12/08/2026,#######
Lokogoma,Abuja,penthouse,5,6,652,yes,no,6200000,02/08/2026,#######
Asokoro,Abuja,flat,2,1,48,not stated,not stated,6000000,14/08/2026,#######
Festac,Lagos,bungalow,3,2,,not stated,yes,3300000,06/08/2026,#######
Dutse,Abuja,flat,3,3,258,yes,not stated,4600000,15/08/2026,#######
Jahi,Abuja,terrace,2,2,137,no,not stated,3900000,01/08/2026,#######
Lekki Phase 1,Lagos,terrace,3,3,268,no,no,6500000,10/08/2026,#######
Surulere,Lagos,mansion,3,3,628,no,not stated,6400000,14/08/2026,#######
Life Camp,Abuja,mansion,3,2,628,yes,yes,6000000,02/08/2026,#######
Victoria Island,Lagos,mansion,2,3,929,yes,no,14100000,13/08/2026,#######
Ikeja,Lagos,mansion,4,4,791,yes,not stated,8400000,11/08/2026,#######
Lekki Phase 2,Lagos,self-contain,0,1,105,yes,not stated,1100000,11/08/2026,#######
Lokogoma,Abuja,bungalow,5,5,760,no,yes,6400000,16/08/2026,#######
Asokoro,Abuja,bungalow,3,4,682,yes,not stated,5500000,09/08/2026,#######
Victoria Island,Lagos,mansion,3,4,1176,not stated,no,14900000,08/08/2026,#######
Ojodu Berger,Lagos,terrace,2,2,,no,yes,3800000,17/08/2026,#######
Lugbe,Abuja,penthouse,2,2,97,no,no,4800000,08/08/2026,#######
Mabushi,Abuja,terrace,2,3,71,not stated,not stated,2400000,02/08/2026,#######
Mabushi,Abuja,mansion,2,1,,yes,no,6600000,08/08/2026,#######
Guzape,Abuja,mansion,3,4,883,yes,not stated,12800000,13/08/2026,#######
Ikoyi,Lagos,flat,3,4,622,not stated,no,6400000,03/08/2026,#######
Ikeja GRA,Lagos,duplex,3,3,464,not stated,yes,5500000,11/08/2026,#######
Wuse 1,Abuja,terrace,2,1,,not stated,no,2100000,07/08/2026,#######
Garki,Abuja,terrace,6,7,407,yes,yes,5400000,08/08/2026,#######
Ikeja GRA,Lagos,terrace,6,5,342,not stated,not stated,7100000,01/08/2026,#######
Ojodu Berger,Lagos,terrace,3,3,501,no,not stated,4300000,10/08/2026,#######
Yaba,Lagos,terrace,4,5,281,yes,no,3800000,08/08/2026,#######
Dutse,Abuja,terrace,4,4,,yes,not stated,5000000,11/08/2026,#######
Ikeja,Lagos,terrace,2,3,149,no,yes,3300000,18/08/2026,#######
Apo,Abuja,flat,5,4,261,yes,no,5500000,17/08/2026,#######
Garki,Abuja,penthouse,2,2,,not stated,yes,4700000,04/08/2026,#######
Jahi,Abuja,penthouse,4,5,784,no,not stated,9900000,17/08/2026,#######
Wuse 1,Abuja,mansion,3,4,704,yes,no,7300000,10/08/2026,#######
Lekki Phase 1,Lagos,bungalow,1,1,,no,no,4900000,04/08/2026,#######
Ikeja,Lagos,self-contain,0,1,,yes,no,800000,12/08/2026,#######
Dutse,Abuja,terrace,2,2,49,no,not stated,2800000,06/08/2026,#######
Allen,Lagos,penthouse,2,1,59,not stated,no,4900000,17/08/2026,#######
Gwarinpa,Abuja,bungalow,2,3,121,yes,yes,3700000,07/08/2026,#######
Wuse 2,Abuja,flat,6,5,760,no,yes,8500000,14/08/2026,#######
Wuse 1,Abuja,duplex,1,2,,no,no,1900000,17/08/2026,#######
Guzape,Abuja,bungalow,4,5,490,yes,not stated,6900000,08/08/2026,#######
Lekki Phase 2,Lagos,flat,3,2,,yes,no,2900000,13/08/2026,#######
Lugbe,Abuja,penthouse,2,3,,not stated,yes,4800000,16/08/2026,#######
Amuwo Odofin,Lagos,flat,4,4,380,yes,not stated,5100000,04/08/2026,#######
Apo,Abuja,flat,2,3,42,no,yes,3500000,07/08/2026,#######
Life Camp,Abuja,terrace,4,4,290,yes,no,5200000,11/08/2026,#######
Lekki Phase 2,Lagos,terrace,3,4,247,yes,not stated,4000000,15/08/2026,#######
Festac,Lagos,mansion,3,3,1106,yes,yes,6000000,03/08/2026,#######
Asokoro,Abuja,terrace,3,4,586,yes,no,5900000,06/08/2026,#######
Maryland,Lagos,penthouse,3,2,786,no,not stated,5700000,06/08/2026,#######
Ikoyi,Lagos,terrace,3,4,,no,not stated,5900000,07/08/2026,#######
Opebi,Lagos,self-contain,0,1,81,no,not stated,1100000,02/08/2026,#######
Ikeja GRA,Lagos,duplex,1,2,135,yes,yes,4200000,17/08/2026,#######
Lekki Phase 1,Lagos,mansion,3,3,842,not stated,yes,14200000,16/08/2026,#######
Wuse 2,Abuja,bungalow,5,6,633,yes,not stated,8400000,08/08/2026,#######
Lugbe,Abuja,terrace,2,1,142,yes,not stated,3100000,08/08/2026,#######
Ikeja GRA,Lagos,duplex,2,1,,no,not stated,4300000,12/08/2026,#######
Lekki Phase 1,Lagos,duplex,5,5,,yes,no,7700000,07/08/2026,#######
Magodo,Lagos,bungalow,3,3,,yes,no,4400000,14/08/2026,#######
Jahi,Abuja,flat,3,2,656,yes,not stated,5200000,17/08/2026,#######
Maitama,Abuja,terrace,2,2,,no,no,5900000,02/08/2026,#######
Life Camp,Abuja,self-contain,0,1,115,not stated,not stated,500000,08/08/2026,#######
Festac,Lagos,penthouse,5,5,600,not stated,not stated,6000000,06/08/2026,#######
Maitama,Abuja,penthouse,6,5,,not stated,yes,14300000,01/08/2026,#######
Victoria Island,Lagos,bungalow,3,4,,no,not stated,6600000,15/08/2026,#######
Magodo,Lagos,self-contain,0,1,,yes,no,1800000,06/08/2026,#######
Ikeja,Lagos,mansion,2,2,1075,no,no,5900000,18/08/2026,#######
VGC,Lagos,self-contain,0,1,116,not stated,yes,1400000,06/08/2026,#######
VGC,Lagos,mansion,3,2,1053,no,not stated,10500000,03/08/2026,#######
Mabushi,Abuja,bungalow,3,2,739,yes,no,4100000,11/08/2026,#######
Asokoro,Abuja,bungalow,5,4,598,not stated,not stated,8900000,01/08/2026,#######
Dutse,Abuja,flat,4,5,642,no,no,5600000,14/08/2026,#######
Ojodu Berger,Lagos,penthouse,3,2,290,no,no,4400000,07/08/2026,#######
Lekki Phase 1,Lagos,duplex,2,1,113,not stated,no,4100000,02/08/2026,#######
Sangotedo,Lagos,terrace,4,4,474,not stated,yes,4000000,15/08/2026,#######
Life Camp,Abuja,flat,3,4,354,no,no,4400000,05/08/2026,#######
Jahi,Abuja,terrace,2,1,98,no,yes,4400000,05/08/2026,#######
Lekki Phase 2,Lagos,terrace,6,7,451,not stated,no,6300000,09/08/2026,#######
Gwarinpa,Abuja,penthouse,1,1,107,not stated,yes,8400000,16/08/2026,#######
Wuse 1,Abuja,penthouse,3,4,,no,yes,5900000,18/08/2026,#######
Ajah,Lagos,mansion,1,1,,not stated,not stated,5700000,09/08/2026,#######
Lugbe,Abuja,flat,3,2,729,no,not stated,4100000,11/08/2026,#######
Lokogoma,Abuja,flat,3,4,,not stated,no,3700000,05/08/2026,#######
Gwarinpa,Abuja,self-contain,0,1,50,no,yes,1500000,18/08/2026,#######
Katampe,Abuja,self-contain,0,1,104,no,yes,0,12/08/2026,#######
Victoria Island,Lagos,terrace,3,4,438,not stated,no,6300000,11/08/2026,#######
Gwarinpa,Abuja,duplex,2,1,62,no,not stated,4500000,16/08/2026,#######
Mabushi,Abuja,terrace,3,4,447,not stated,yes,2900000,18/08/2026,#######
Dutse,Abuja,bungalow,1,1,80,no,yes,1300000,17/08/2026,#######
Life Camp,Abuja,flat,5,5,729,yes,no,6100000,16/08/2026,#######
Life Camp,Abuja,duplex,5,5,,no,no,4900000,12/08/2026,#######
Ikeja,Lagos,flat,3,4,732,not stated,not stated,4800000,14/08/2026,#######
Wuse 2,Abuja,duplex,3,4,395,yes,yes,5600000,08/08/2026,#######
Ikeja GRA,Lagos,duplex,2,1,142,not stated,yes,4900000,10/08/2026,#######
Lokogoma,Abuja,mansion,1,1,,no,not stated,5900000,16/08/2026,#######
VGC,Lagos,bungalow,2,1,64,no,no,4500000,07/08/2026,#######
Asokoro,Abuja,flat,3,4,,no,yes,6000000,07/08/2026,#######
Festac,Lagos,penthouse,3,4,,no,no,5300000,06/08/2026,#######
Life Camp,Abuja,terrace,1,1,,no,not stated,3000000,11/08/2026,#######
Yaba,Lagos,flat,3,2,268,not stated,yes,3200000,18/08/2026,#######
Magodo,Lagos,flat,6,5,609,yes,yes,7500000,13/08/2026,#######
Lugbe,Abuja,penthouse,3,4,790,no,not stated,5800000,16/08/2026,#######
Wuse 1,Abuja,flat,3,3,621,no,not stated,4400000,08/08/2026,#######
Ilupeju,Lagos,flat,2,1,104,yes,yes,3500000,17/08/2026,#######
Lekki Phase 1,Lagos,mansion,1,1,1002,yes,not stated,12400000,16/08/2026,#######
Victoria Island,Lagos,flat,4,3,571,yes,yes,7200000,06/08/2026,#######
Life Camp,Abuja,mansion,5,6,1022,not stated,not stated,7700000,01/08/2026,#######
VGC,Lagos,terrace,4,3,,not stated,yes,4700000,08/08/2026,#######
Katampe,Abuja,duplex,3,4,236,yes,yes,3000000,03/08/2026,#######
Apo,Abuja,bungalow,3,4,468,not stated,yes,3600000,09/08/2026,#######
Magodo,Lagos,mansion,3,4,654,yes,no,11600000,18/08/2026,#######
Allen,Lagos,self-contain,0,1,55,yes,not stated,1400000,05/08/2026,#######
Life Camp,Abuja,bungalow,2,1,59,no,no,2100000,11/08/2026,#######
Jahi,Abuja,bungalow,4,4,,no,no,5800000,18/08/2026,#######
Asokoro,Abuja,penthouse,6,6,785,not stated,yes,13400000,17/08/2026,#######
Mabushi,Abuja,self-contain,0,1,93,no,yes,500000,02/08/2026,#######
Opebi,Lagos,penthouse,4,5,329,no,no,7000000,09/08/2026,#######
Ikeja GRA,Lagos,self-contain,0,1,144,no,not stated,900000,09/08/2026,#######
Lokogoma,Abuja,bungalow,1,2,49,not stated,not stated,2500000,10/08/2026,#######
Jahi,Abuja,duplex,3,2,435,no,not stated,5200000,17/08/2026,#######
Ojodu Berger,Lagos,mansion,3,2,523,yes,not stated,6500000,04/08/2026,#######
Katampe,Abuja,bungalow,3,2,799,not stated,not stated,4100000,12/08/2026,#######
Amuwo Odofin,Lagos,flat,3,4,616,no,yes,3900000,02/08/2026,#######
Festac,Lagos,terrace,4,3,549,not stated,no,5400000,07/08/2026,#######
Asokoro,Abuja,terrace,2,3,,not stated,yes,5200000,07/08/2026,#######
Wuse 1,Abuja,flat,1,1,86,yes,not stated,2500000,05/08/2026,#######
Gwarinpa,Abuja,flat,5,6,324,no,not stated,6900000,08/08/2026,#######
Allen,Lagos,bungalow,2,1,96,not stated,yes,2200000,15/08/2026,#######
Wuse 2,Abuja,flat,5,6,,not stated,yes,7500000,14/08/2026,#######
Sangotedo,Lagos,duplex,2,2,118,yes,not stated,3000000,03/08/2026,#######
Lugbe,Abuja,flat,3,4,215,yes,no,3100000,09/08/2026,#######
Ajah,Lagos,flat,3,2,,no,not stated,4800000,09/08/2026,#######
Guzape,Abuja,bungalow,2,2,51,yes,not stated,5300000,06/08/2026,#######
Magodo,Lagos,self-contain,0,1,,no,not stated,1900000,06/08/2026,#######
Sangotedo,Lagos,duplex,3,3,,yes,no,4400000,01/08/2026,#######
Apo,Abuja,mansion,2,3,920,no,no,6900000,18/08/2026,#######
Gbagada,Lagos,flat,4,3,415,no,yes,4800000,05/08/2026,#######
Ajah,Lagos,terrace,3,2,,yes,no,4800000,12/08/2026,#######
Katampe,Abuja,penthouse,3,4,474,no,not stated,5500000,11/08/2026,#######
Jahi,Abuja,terrace,2,1,,not stated,yes,5400000,08/08/2026,#######
Sangotedo,Lagos,mansion,2,1,,no,not stated,5400000,01/08/2026,#######
Amuwo Odofin,Lagos,mansion,6,5,718,no,yes,8400000,03/08/2026,#######
Wuse 2,Abuja,terrace,2,1,92,yes,yes,5600000,06/08/2026,#######
Gwarinpa,Abuja,mansion,2,1,708,not stated,no,11500000,03/08/2026,#######
Guzape,Abuja,flat,2,3,,yes,no,4300000,12/08/2026,#######
Surulere,Lagos,self-contain,0,1,63,no,yes,700000,06/08/2026,#######
Apo,Abuja,terrace,1,1,108,not stated,not stated,2600000,11/08/2026,#######
Jahi,Abuja,mansion,4,3,542,yes,no,13300000,17/08/2026,#######
Opebi,Lagos,penthouse,3,3,,not stated,yes,5200000,06/08/2026,#######
Magodo,Lagos,flat,3,3,515,not stated,no,4600000,14/08/2026,#######
Lokogoma,Abuja,self-contain,0,1,,yes,not stated,1500000,09/08/2026,#######
Maitama,Abuja,penthouse,2,1,127,yes,yes,10400000,11/08/2026,#######
Asokoro,Abuja,terrace,1,2,60,not stated,no,5500000,10/08/2026,#######
VGC,Lagos,terrace,2,3,126,yes,no,5000000,15/08/2026,#######
Ikeja,Lagos,penthouse,4,5,252,no,not stated,5600000,16/08/2026,#######
Lugbe,Abuja,duplex,5,5,,no,no,5800000,04/08/2026,#######
Mabushi,Abuja,duplex,3,4,745,no,no,2900000,04/08/2026,#######
Dutse,Abuja,duplex,3,4,351,no,not stated,3300000,11/08/2026,#######
Dutse,Abuja,bungalow,2,3,109,no,not stated,3000000,04/08/2026,#######
Maitama,Abuja,duplex,2,1,121,no,no,5200000,05/08/2026,#######
Magodo,Lagos,duplex,5,5,307,no,no,6300000,01/08/2026,#######
Magodo,Lagos,bungalow,3,2,,not stated,not stated,4100000,16/08/2026,#######
Opebi,Lagos,flat,3,4,277,not stated,not stated,4800000,06/08/2026,#######
Life Camp,Abuja,bungalow,2,1,132,no,not stated,3500000,03/08/2026,#######
Life Camp,Abuja,duplex,3,2,,no,no,3000000,11/08/2026,#######
Asokoro,Abuja,self-contain,0,1,112,not stated,no,2300000,04/08/2026,#######
VGC,Lagos,flat,4,4,760,no,yes,6000000,10/08/2026,#######
Asokoro,Abuja,penthouse,3,4,737,yes,not stated,12400000,11/08/2026,#######
Allen,Lagos,mansion,3,3,1095,yes,no,6200000,08/08/2026,#######
Ojodu Berger,Lagos,terrace,4,3,,no,no,3800000,08/08/2026,#######
Ojodu Berger,Lagos,mansion,3,4,839,not stated,not stated,7800000,03/08/2026,#######
Garki,Abuja,terrace,3,3,588,no,not stated,4000000,15/08/2026,#######
Ikeja,Lagos,terrace,3,4,693,no,yes,4400000,16/08/2026,#######
Wuse 1,Abuja,bungalow,4,5,429,yes,not stated,3800000,12/08/2026,#######
Wuse 2,Abuja,bungalow,4,3,246,no,no,7700000,07/08/2026,#######
VGC,Lagos,self-contain,0,1,,no,not stated,500000,05/08/2026,#######
Lugbe,Abuja,duplex,6,5,263,no,not stated,5300000,09/08/2026,#######
Wuse 2,Abuja,penthouse,2,1,107,no,not stated,11400000,10/08/2026,#######
Allen,Lagos,self-contain,0,1,80,no,yes,1000000,18/08/2026,#######
Asokoro,Abuja,mansion,3,4,961,not stated,no,16800000,09/08/2026,#######
Ajah,Lagos,penthouse,4,5,737,not stated,no,6400000,14/08/2026,#######
Opebi,Lagos,flat,2,3,86,no,not stated,2600000,06/08/2026,#######
VGC,Lagos,terrace,1,1,61,yes,not stated,2900000,03/08/2026,#######
Sangotedo,Lagos,terrace,4,4,278,no,yes,5600000,15/08/2026,#######
Life Camp,Abuja,penthouse,5,4,633,not stated,not stated,6300000,07/08/2026,#######
Maitama,Abuja,self-contain,0,1,84,yes,no,1900000,15/08/2026,#######
Yaba,Lagos,terrace,5,6,211,no,yes,5100000,13/08/2026,#######
Lugbe,Abuja,terrace,3,2,338,yes,yes,3800000,03/08/2026,#######
Dutse,Abuja,terrace,5,5,378,no,yes,4500000,01/08/2026,#######
Maitama,Abuja,terrace,2,1,,not stated,not stated,5900000,17/08/2026,#######
Ikeja GRA,Lagos,duplex,2,3,,no,not stated,4700000,01/08/2026,#######
Ikeja,Lagos,terrace,1,1,84,no,not stated,1500000,16/08/2026,#######
Surulere,Lagos,mansion,2,2,746,yes,no,6400000,14/08/2026,#######
Gwarinpa,Abuja,flat,2,3,67,no,no,4700000,04/08/2026,#######
Life Camp,Abuja,duplex,3,2,617,yes,no,4100000,12/08/2026,#######
Gbagada,Lagos,mansion,6,6,636,not stated,no,9800000,17/08/2026,#######
Ojodu Berger,Lagos,self-contain,0,1,61,not stated,yes,1500000,02/08/2026,#######
VGC,Lagos,duplex,5,6,183,not stated,yes,6200000,13/08/2026,#######
Lugbe,Abuja,self-contain,0,1,64,not stated,yes,0,11/08/2026,#######
Garki,Abuja,terrace,1,1,148,yes,no,2400000,07/08/2026,#######
Wuse 1,Abuja,bungalow,5,4,502,not stated,yes,5800000,07/08/2026,#######
Victoria Island,Lagos,mansion,1,1,768,not stated,no,14000000,18/08/2026,#######
Maitama,Abuja,duplex,2,1,,not stated,not stated,6400000,14/08/2026,#######
Mabushi,Abuja,duplex,2,1,,not stated,yes,3800000,02/08/2026,#######
Opebi,Lagos,flat,3,4,316,not stated,no,4200000,08/08/2026,#######
Lugbe,Abuja,bungalow,5,6,617,no,not stated,4600000,15/08/2026,#######
VGC,Lagos,penthouse,4,3,,not stated,no,8200000,04/08/2026,#######
Katampe,Abuja,self-contain,0,1,150,not stated,no,0,17/08/2026,#######
Maitama,Abuja,penthouse,4,3,,no,yes,11800000,10/08/2026,#######
Ojodu Berger,Lagos,bungalow,3,4,,yes,not stated,4800000,04/08/2026,#######
Asokoro,Abuja,self-contain,0,1,51,not stated,no,1100000,11/08/2026,#######
Yaba,Lagos,bungalow,2,1,75,no,no,3100000,10/08/2026,#######
Sangotedo,Lagos,terrace,1,1,,yes,not stated,3100000,12/08/2026,#######
Lokogoma,Abuja,duplex,3,2,,yes,yes,3500000,07/08/2026,#######
Apo,Abuja,penthouse,3,3,750,yes,not stated,4500000,13/08/2026,#######
Allen,Lagos,bungalow,2,2,,yes,no,3100000,16/08/2026,#######
Opebi,Lagos,self-contain,0,1,104,yes,not stated,1600000,14/08/2026,#######
Opebi,Lagos,penthouse,3,2,,not stated,not stated,5000000,02/08/2026,#######
Ilupeju,Lagos,duplex,2,3,,not stated,not stated,2400000,05/08/2026,#######
Katampe,Abuja,duplex,3,2,,no,not stated,4400000,09/08/2026,#######
Ajah,Lagos,self-contain,0,1,,no,not stated,200000,04/08/2026,#######
Wuse 1,Abuja,flat,1,1,116,yes,yes,1600000,07/08/2026,#######
Maitama,Abuja,penthouse,3,3,,not stated,yes,12300000,04/08/2026,#######
Asokoro,Abuja,penthouse,4,4,240,not stated,not stated,13100000,06/08/2026,#######
VGC,Lagos,self-contain,0,1,144,not stated,no,1100000,10/08/2026,#######
Lokogoma,Abuja,self-contain,0,1,,no,yes,1200000,11/08/2026,#######
Wuse 2,Abuja,bungalow,2,3,116,yes,no,6100000,18/08/2026,#######
Life Camp,Abuja,mansion,2,1,1081,no,yes,7000000,04/08/2026,#######
Lugbe,Abuja,self-contain,0,1,147,yes,yes,200000,13/08/2026,#######
Garki,Abuja,duplex,6,6,421,no,no,6400000,12/08/2026,#######
Ilupeju,Lagos,mansion,2,2,785,no,yes,6100000,11/08/2026,#######
VGC,Lagos,mansion,6,7,,no,yes,13500000,01/08/2026,#######
Surulere,Lagos,penthouse,3,4,,not stated,no,5600000,09/08/2026,#######
VGC,Lagos,bungalow,1,1,137,yes,not stated,3400000,09/08/2026,#######
Surulere,Lagos,penthouse,1,2,113,no,not stated,2900000,15/08/2026,#######
Wuse 2,Abuja,penthouse,4,4,338,no,yes,11900000,09/08/2026,#######
Ajah,Lagos,bungalow,3,3,711,no,no,3100000,17/08/2026,#######
Yaba,Lagos,self-contain,0,1,,yes,not stated,300000,15/08/2026,#######
Ikoyi,Lagos,terrace,3,4,,no,yes,6800000,01/08/2026,#######
Wuse 1,Abuja,penthouse,3,3,517,no,not stated,4900000,04/08/2026,#######
Surulere,Lagos,self-contain,0,1,50,yes,not stated,700000,18/08/2026,#######
Jahi,Abuja,duplex,3,2,199,not stated,not stated,5900000,07/08/2026,#######
Guzape,Abuja,penthouse,2,1,145,no,not stated,7600000,09/08/2026,#######
Gwarinpa,Abuja,terrace,2,2,71,yes,not stated,3800000,11/08/2026,#######
Lokogoma,Abuja,flat,4,4,198,no,yes,4400000,06/08/2026,#######
Lekki Phase 1,Lagos,self-contain,0,1,143,yes,not stated,1100000,04/08/2026,#######
Mabushi,Abuja,self-contain,0,1,,not stated,no,800000,03/08/2026,#######
Lekki Phase 2,Lagos,bungalow,4,3,,yes,yes,5500000,05/08/2026,#######
Gbagada,Lagos,penthouse,1,2,48,not stated,not stated,4500000,07/08/2026,#######
Guzape,Abuja,duplex,5,5,724,yes,not stated,6900000,10/08/2026,#######
Yaba,Lagos,duplex,2,3,55,yes,yes,3100000,17/08/2026,#######
Ikeja,Lagos,duplex,3,4,778,no,not stated,4700000,06/08/2026,#######
Lugbe,Abuja,mansion,4,4,1020,no,yes,8600000,10/08/2026,#######
Ikoyi,Lagos,duplex,1,1,,no,yes,4000000,18/08/2026,#######
Maitama,Abuja,terrace,2,2,117,no,not stated,4700000,08/08/2026,#######
Magodo,Lagos,self-contain,0,1,133,yes,yes,1400000,01/08/2026,#######
Life Camp,Abuja,duplex,2,3,40,yes,no,2600000,07/08/2026,#######
Opebi,Lagos,flat,3,2,262,not stated,yes,3500000,03/08/2026,#######
Lugbe,Abuja,mansion,2,1,942,yes,no,6000000,07/08/2026,#######
Allen,Lagos,penthouse,1,1,51,yes,yes,4100000,10/08/2026,#######
Asokoro,Abuja,terrace,5,6,,yes,yes,7500000,07/08/2026,#######
Gwarinpa,Abuja,terrace,3,3,625,yes,yes,5200000,15/08/2026,#######
Wuse 1,Abuja,flat,5,4,,no,not stated,5900000,08/08/2026,#######
Wuse 1,Abuja,bungalow,5,5,357,yes,no,4500000,08/08/2026,#######
Mabushi,Abuja,terrace,4,3,196,no,yes,4600000,04/08/2026,#######
Life Camp,Abuja,self-contain,0,1,,no,not stated,1700000,16/08/2026,#######
Wuse 1,Abuja,mansion,2,2,763,no,not stated,5700000,02/08/2026,#######
Amuwo Odofin,Lagos,penthouse,2,2,,yes,not stated,5000000,04/08/2026,#######
Asokoro,Abuja,bungalow,2,2,98,no,yes,5200000,17/08/2026,#######
Wuse 2,Abuja,penthouse,3,3,290,not stated,no,11000000,08/08/2026,#######
Ikoyi,Lagos,penthouse,5,4,463,not stated,not stated,12400000,10/08/2026,#######
VGC,Lagos,self-contain,0,1,67,no,not stated,100000,15/08/2026,#######
Festac,Lagos,mansion,2,1,970,yes,no,7000000,06/08/2026,#######
Ojodu Berger,Lagos,flat,2,2,45,yes,not stated,2500000,11/08/2026,#######
Wuse 1,Abuja,bungalow,3,4,532,not stated,not stated,3400000,12/08/2026,#######
Garki,Abuja,terrace,2,3,96,not stated,yes,2200000,16/08/2026,#######
Life Camp,Abuja,mansion,3,3,891,yes,yes,6200000,04/08/2026,#######
Dutse,Abuja,bungalow,1,1,,not stated,not stated,2700000,09/08/2026,#######
Ikeja,Lagos,self-contain,0,1,86,no,not stated,1400000,17/08/2026,#######
VGC,Lagos,terrace,1,1,,no,not stated,3600000,12/08/2026,#######
Life Camp,Abuja,flat,2,3,83,no,no,3300000,18/08/2026,#######
Dutse,Abuja,bungalow,4,4,603,not stated,no,4300000,04/08/2026,#######
Victoria Island,Lagos,flat,5,5,401,yes,not stated,7300000,13/08/2026,#######
Lugbe,Abuja,bungalow,1,1,143,yes,yes,2900000,18/08/2026,#######
Maitama,Abuja,penthouse,2,1,75,no,yes,11000000,14/08/2026,#######
Ikeja GRA,Lagos,penthouse,2,2,,no,no,7400000,14/08/2026,#######
Asokoro,Abuja,terrace,5,6,624,not stated,no,8400000,16/08/2026,#######
Amuwo Odofin,Lagos,mansion,4,3,758,no,no,7800000,15/08/2026,#######
Gbagada,Lagos,bungalow,4,4,,yes,not stated,3800000,11/08/2026,#######
Gwarinpa,Abuja,bungalow,2,3,143,no,yes,3600000,06/08/2026,#######
Maitama,Abuja,duplex,3,2,362,yes,yes,5600000,02/08/2026,#######
Guzape,Abuja,duplex,5,5,,yes,no,7500000,12/08/2026,#######
Wuse 2,Abuja,flat,4,4,608,yes,yes,7000000,14/08/2026,#######
VGC,Lagos,flat,2,1,51,yes,no,3500000,16/08/2026,#######
Life Camp,Abuja,flat,3,2,614,not stated,not stated,4100000,16/08/2026,#######
VGC,Lagos,bungalow,3,2,246,no,yes,4700000,06/08/2026,#######
Lokogoma,Abuja,duplex,2,2,102,not stated,no,3800000,02/08/2026,#######
Apo,Abuja,flat,4,5,693,not stated,not stated,5000000,04/08/2026,#######
Amuwo Odofin,Lagos,bungalow,2,3,,not stated,no,3400000,04/08/2026,#######
Lekki Phase 1,Lagos,mansion,2,1,1068,no,no,14600000,02/08/2026,#######
Asokoro,Abuja,penthouse,3,3,622,no,yes,12000000,03/08/2026,#######
